db_id,question,evidence,SQL,q_len
movie_platform,"Who is the director of the movie Sex, Drink and Bloodshed?","Sex, Drink and Bloodshed refers to movie title = 'Sex, Drink and Bloodshed';","SELECT director_name FROM movies WHERE movie_title = 'Sex, Drink and Bloodshed'",58
movie_platform,"What is the user ID of the user, who was a subscriber when he created the list, who created a list for 10 consecutive years? If there are multiple users, indicate each of their user IDs.",user was a subscriber when he created the list refers to user_subscriber = 1; user who created a list for 10 consecutive years refers to user_id with list_creation_date_utc for 10 succeeding years;,"SELECT user_id FROM lists_users WHERE user_subscriber = 1 GROUP BY user_id HAVING MAX(SUBSTR(list_creation_date_utc, 1, 4)) - MIN(SUBSTR(list_creation_date_utc, 1, 4)) >= 10",186
movie_platform,How many movies were added to the list with the most number of movies? Indicate whether the user was a paying subscriber or not when he created the list.,list with the most number of movies refers to MAX(list_movie_number); user_has_payment_method = 1 means the user was a paying subscriber when he created the list; user_has_payment_method = 0 means the user was not a paying subscriber when he created the list;,"SELECT T1.list_movie_number, T2.user_has_payment_method FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.list_id = T2.list_id ORDER BY T1.list_movie_number DESC LIMIT 1",153
movie_platform,"Among the lists created by user 4208563, which one has the highest number of followers? Indicate how many followers it has and whether the user was a subscriber or not when he created the list.",User 4208563 refers to user_id;highest number of followers refers to MAX(list_followers); user_subscriber = 1 means that the user was a subscriber when he created the list; user_subscriber = 0 means the user was not a subscriber when he created the list (to replace),"SELECT T1.list_followers, T2.user_subscriber = 1 FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.user_id = T2.user_id AND T2.list_id = T2.list_id WHERE T2.user_id = 4208563 ORDER BY T1.list_followers DESC LIMIT 1",193
movie_platform,How many movie lists were still updated 10 years after it was created?,updated 10 years after it was created refers to list_update_timestamp_utc > (list_creation_timestamp_utc+10);,"SELECT COUNT(*) FROM lists WHERE SUBSTR(list_update_timestamp_utc, 1, 4) - SUBSTR(list_creation_timestamp_utc, 1, 4) > 10",70
movie_platform,"What's the description for the movie list ""Short and pretty damn sweet""?",Short and pretty damn sweet is list_title; description refers to list_description;,SELECT list_description FROM lists WHERE list_title = 'Short and pretty damn sweet',72
movie_platform,"Where can I find the movie list ""Short and pretty damn sweet""?",Short and pretty damn sweet is list_title; location of the movie refers to list_url;,SELECT list_url FROM lists WHERE list_title = 'Short and pretty damn sweet',62
movie_platform,"Was the user who created the list ""250 Favourite Films"" a trialist when he or she created the list?",the user was a trialist when he created the list refers to user_trailist = 1; 250 Favourite Films is list_title;,SELECT T2.user_trialist FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.list_id = T2.list_id AND T1.user_id = T2.user_id WHERE T1.list_title = '250 Favourite Films',99
movie_platform,How many movie lists with over 100 movies had user 85981819 created when he or she was a paying subscriber?,the user was a paying subscriber when he created the list refers to user_has_payment_method = 1;  movie lists with over 100 refers to list_movie_number >100;  user 85981819 refers to user_id = 85981819;,SELECT COUNT(*) FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.list_id = T2.list_id AND T1.user_id = T2.user_id WHERE T1.user_id = 85981819 AND T1.list_movie_number > 100 AND T2.user_has_payment_method = 1,107
movie_platform,What's the description of user 85981819's movie list with the most followers?,user 85981819 refers to user_id = 85981819; most followers refers to Max(list_followers); description refers to list_descriptions;,SELECT T1.list_description FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.list_id = T2.list_id AND T1.user_id = T2.user_id WHERE T1.user_id = 85981819 ORDER BY T1.list_followers DESC LIMIT 1,77
