dialect,version,instance_id,db_id,query,issue_sql,preprocess_sql,clean_up_sql,category
SQLite,3,SQLite_0,codebase_community,"I'm trying to format time values from a datetime column in SQLite. I need to extract just the time portion (hours:minutes:seconds) without any leading zeros for the hours. For example, I want results like: 0:00:00 10:00:00 4:00:00 Instead of: 00:00:00 10:00:00 04:00:00 The issue with my current query is that it's always including leading zeros for hours under 10. How can I format this correctly to achieve the desired output?",['SELECT CAST(CreationDate AS TIME) FROM comments'],[],[],Query
SQLite,3,SQLite_1,financial,"In the financial database, there is a need to convert the data from a `BIGINT` column to a `TIMESTAMP` column. The `date` column in the `account` table is currently stored as a `BIGINT` representing the date in the format YYMMDD. The goal is to update this column to a `TIMESTAMP` type to store the date and time information.","['UPDATE account SET date = CAST(date_bigint AS TEXT)', 'ALTER TABLE account DROP COLUMN date_bigint']","['ALTER TABLE account ADD COLUMN date_bigint INTEGER', ""UPDATE account SET date_bigint = CAST(STRFTIME('%Y%m%d', date) AS INTEGER)""]",[],Management
SQLite,3,SQLite_2,european_football_2,"
I need to generate a report that lists all possible combinations of match outcomes (win, lose, draw) for each team in the 'european_football_2' database. I tried the following query but it does not work as expected; it only returns a limited set of combinations instead of all possible combinations for each team.
","[""SELECT t.team_long_name, o.outcome FROM (SELECT DISTINCT team_long_name FROM Team LIMIT 2) t, (SELECT 'win' AS outcome UNION SELECT 'lose' UNION SELECT 'draw') o WHERE t.team_long_name = o.outcome""]",[],[],Personalization
SQLite,3,SQLite_3,california_schools,"
I am working with the california_schools database and need to analyze the frpm table to find the second highest enrollment (K-12) for each County Code, ignoring rows with NULL values in the County Code and Enrollment (K-12) fields. The goal is: Partition the data by County Code. Within each partition, sort the records by Enrollment (K-12) in descending order, with NULL values appearing last. Select the  second highest enrollment record (rn = 2) from each partition. Exclude any counties where there's only one valid record.
","['SELECT * FROM (SELECT *, ROW_NUMBER() OVER (PARTITION BY ""County Code"" ORDER BY ""County Code"", ""Enrollment (K-12)"" DESC) AS _row_number FROM frpm) AS _t WHERE _row_number = 1']",[],[],Personalization
SQLite,3,SQLite_4,formula_1,I have a table of items with their costs and quantities. I want to find the maximum total quantity of items I can purchase with a budget of 100. Each item can be purchased multiple times up to its available quantity. This is a knapsack-style optimization problem where I need to maximize the sum of quantities while keeping the total cost at or below 100.,['SELECT SUM(CAST(100 / cost AS INTEGER)) as total_quantity FROM items'],"['CREATE TEMP TABLE items (item_id INTEGER PRIMARY KEY, item_name TEXT, cost INTEGER, quantity INTEGER)', ""INSERT INTO items (item_id, item_name, cost, quantity) VALUES (1, 'Widget A', 5, 10), (2, 'Widget B', 8, 8), (3, 'Widget C', 3, 15), (4, 'Widget D', 12, 5)""]",['DROP TABLE IF EXISTS items'],Query
SQLite,3,SQLite_5,european_football_2,"
How can I generate a table that groups data from a player_attributes table by player_fifa_api_id and player_api_id and, for each group, concatenates the overall_rating values into a field?
","['INSERT INTO historical_rating (player_fifa_api_id, player_api_id, grouped_rating) SELECT player_fifa_api_id, player_api_id AS grouped_rating FROM player_attributes GROUP BY player_fifa_api_id, player_api_id']","[""CREATE TABLE historical_rating (player_fifa_api_id INTEGER, player_api_id INTEGER, grouped_rating TEXT, first_recorded_date TEXT DEFAULT CURRENT_TIMESTAMP, last_updated_date TEXT DEFAULT CURRENT_TIMESTAMP, rating_count INTEGER DEFAULT 0, average_rating REAL DEFAULT 0.0, rating_trend TEXT DEFAULT 'stable', highest_rating INTEGER DEFAULT 0, lowest_rating INTEGER DEFAULT 100, rating_variance REAL DEFAULT 0.0, data_quality_score INTEGER DEFAULT 5 CHECK (data_quality_score BETWEEN 1 AND 10), is_active INTEGER DEFAULT 1, metadata TEXT , rating_history_hash TEXT , notes TEXT DEFAULT '', season_count INTEGER DEFAULT 1, last_rating_change REAL DEFAULT 0.0)""]",['DROP TABLE historical_rating'],Management
SQLite,3,SQLite_6,codebase_community,"
In a database that contains a table named 'posts', each post can reference a parent post through the 'acceptedanswerid' column. The goal is to retrieve posts based on the following conditions: (1) Include the parent post if the parent's 'score' is greater than or equal to 20, and (2) Include the child post if the parent's 'score' is less than 20 but the child's 'score' is greater than or equal to 20. Both parent and child posts should not be included simultaneously if the parent satisfies the condition. How can I write a query to achieve this?
","['SELECT DISTINCT id, acceptedanswerid, posttypeid, score FROM posts WHERE score >= 20 OR acceptedanswerid IS NOT NULL AND score >= 20 GROUP BY id, acceptedanswerid']",[],[],Query
SQLite,3,SQLite_7,card_games,"We have a table with card collection data which includes the start and end dates of when cards were added to and removed from a collection. Not all cards have an end date as they are still in the collection. We need to calculate the number of new cards added per month, cards removed per month, and existing cards per month. We have already completed counts of new and removed cards per month, but we are facing trouble in calculating the existing cards. The data starts from January 2023.","[""WITH card_activity AS (SELECT SUBSTR(CAST(fe.start_date_key AS TEXT), 1, 4) || '-' || SUBSTR(CAST(fe.start_date_key AS TEXT), 5, 2) || '-' || SUBSTR(CAST(fe.start_date_key AS TEXT), 7, 2) AS start_date, CASE WHEN fe.end_date_key IS NOT NULL THEN SUBSTR(CAST(fe.end_date_key AS TEXT), 1, 4) || '-' || SUBSTR(CAST(fe.end_date_key AS TEXT), 5, 2) || '-' || SUBSTR(CAST(fe.end_date_key AS TEXT), 7, 2) END AS end_date, dp.set_name, dp.set_code, fe.card_key FROM fact_collection AS fe INNER JOIN dim_set AS dp ON fe.set_key = dp.set_key), months AS (SELECT '2023-01-01' AS month_date UNION ALL SELECT date(month_date, '+1 month') FROM months WHERE month_date < '2024-12-01') SELECT SUBSTR(month_date, 1, 7) AS month, COUNT(DISTINCT ca.card_key) AS existing_cards, ca.set_name FROM months LEFT JOIN card_activity AS ca ON ca.start_date <= month_date AND (ca.end_date IS NULL OR ca.end_date > month_date) GROUP BY month_date, ca.set_name ORDER BY month_date LIMIT 12""]","['CREATE TABLE dim_set ( set_key INTEGER PRIMARY KEY AUTOINCREMENT, set_name TEXT NULL, set_code TEXT NULL );', 'CREATE TABLE fact_collection ( card_key INTEGER NULL, start_date_key INTEGER NULL, end_date_key INTEGER NULL, set_key INTEGER NULL );', ""INSERT INTO dim_set (set_name, set_code) VALUES ('Core Set', '10E');"", 'INSERT INTO fact_collection (card_key, start_date_key, end_date_key, set_key) VALUES (1, 20230105, 20230130, 1), (2, 20230106, 20230120, 1), (3, 20230405, 20230420, 1);', 'INSERT INTO fact_collection (card_key, start_date_key, set_key) VALUES (4, 20230110, 1), (5, 20230120, 1), (6, 20230220, 1), (7, 20230202, 1), (8, 20230228, 1), (9, 20230206, 1), (10, 20230406, 1);']",['DROP TABLE IF EXISTS fact_collection'],Query
SQLite,3,SQLite_8,superhero,"We have a dataset representing time spans during which superheroes have been active in various missions. Each record includes a superhero's ID, the start time, and the end time of their mission. We need to combine multiple rows into a single row where the missions are continuous (i.e., the end time of one mission is the start time of the next mission for the same superhero). The goal is to find the earliest start time and the latest end time for each continuous span of missions for each superhero.","['WITH mission_spans AS (SELECT hero_id, mission_start, mission_end FROM superhero_missions ORDER BY hero_id, mission_start, mission_end) SELECT hero_id, MIN(mission_start) OVER (PARTITION BY hero_id), MAX(mission_end) OVER (PARTITION BY hero_id) FROM mission_spans ORDER BY 1, 2, 3']","['CREATE TABLE superhero_missions (hero_id INTEGER, mission_start TIMESTAMP, mission_end TIMESTAMP)', ""INSERT INTO superhero_missions (hero_id, mission_start, mission_end) VALUES (1, '2023-01-01 09:00:00', '2023-01-01 10:00:00'), (1, '2023-01-01 10:00:00', '2023-01-01 11:00:00'), (1, '2023-01-01 11:00:00', '2023-01-01 12:00:00'), (1, '2023-01-01 13:00:00', '2023-01-01 14:00:00'), (1, '2023-01-01 14:00:00', '2023-01-01 15:00:00'), (1, '2023-01-01 15:00:00', '2023-01-01 16:00:00'), (2, '2023-01-01 10:00:00', '2023-01-01 11:00:00'), (2, '2023-01-01 11:00:00', '2023-01-01 12:00:00'), (2, '2023-01-01 13:00:00', '2023-01-01 14:00:00'), (3, '2023-01-01 10:00:00', '2023-01-01 11:00:00')""]",['DROP TABLE IF EXISTS superhero_missions'],Personalization
SQLite,3,SQLite_9,card_games,I am trying to find the median release date of all card sets in the 'sets' table of the card_games database. The goal is to obtain the date that is in the middle of all the release dates. I need to order the release dates and find the middle value by counting the total rows and selecting the appropriate row position to get the median date.,['SELECT releaseDate FROM sets ORDER BY releaseDate LIMIT 1 OFFSET (SELECT COUNT(*)/2 FROM sets)'],[],[],Query
